station1,station2,distance,double_direction
古城,八角游乐园,1921,1
八角游乐园,八宝山,1953,1
八宝山,玉泉路,1479,1
玉泉路,五棵松,1810,1
五棵松,万寿路,1778,1
万寿路,公主坟,1313,1
公主坟,军事博物馆,1172,1
军事博物馆,木樨地,1166,1
木樨地,南礼士路,1291,1
南礼士路,复兴门,424,1
复兴门,西单,1596,1
西单,天安门西,1217,1
天安门西,天安门东,925,1
天安门东,王府井,852,1
王府井,东单,774,1
东单,建国门,1230,1
建国门,永安里,1377,1
永安里,国贸,790,1
国贸,大望路,1385,1
大望路,四惠,1673,1
四惠,四惠东,1714,1
西直门,车公庄,910,1
车公庄,阜成门,960,1
阜成门,复兴门,1833,1
复兴门,长椿街,1234,1
长椿街,宣武门,929,1
宣武门,和平门,851,1
和平门,前门,1171,1
前门,崇文门,1634,1
崇文门,北京站,1023,1
北京站,建国门,946,1
建国门,朝阳门,1736,1
朝阳门,东四十条,1027,1
东四十条,东直门,824,1
东直门,雍和宫,2228,1
雍和宫,安定门,792,1
安定门,鼓楼大街,1237,1
鼓楼大街,积水潭,1766,1
西直门,积水潭,1899,1
安河桥北,北宫门,1363,1
北宫门,西苑,1251,1
西苑,圆明园,1672,1
圆明园,北京大学东门,1295,1
北京大学东门,中关村,887,1
中关村,海淀黄庄,900,1
海淀黄庄,人民大学,1063,1
人民大学,魏公村,1051,1
魏公村,国家图书馆,1658,1
国家图书馆,动物园,1517,1
动物园,西直门,1441,1
西直门,新街口,1025,1
新街口,平安里,1100,1
平安里,西四,1100,1
西四,灵境胡同,869,1
灵境胡同,西单,1011,1
西单,宣武门,815,1
宣武门,菜市口,1152,1
菜市口,陶然亭,1200,1
陶然亭,北京南站,1643,1
北京南站,马家堡,1480,1
马家堡,角门西,827,1
角门西,公益西桥,989,1
天通苑北,天通苑,941,1
天通苑,天通苑南,964,1
天通苑南,立水桥,1544,1
立水桥,立水桥南,1306,1
立水桥南,北苑路北,1330,1
北苑路北,大屯路东,2956,1
大屯路东,惠新西街北口,1838,1
惠新西街北口,惠新西街南口,1121,1
惠新西街南口,和平西桥,1026,1
和平西桥,和平里北街,1059,1
和平里北街,雍和宫,1151,1
雍和宫,北新桥,866,1
北新桥,张自忠路,791,1
张自忠路,东四,1017,1
东四,灯市口,848,1
灯市口,东单,945,1
东单,崇文门,822,1
崇文门,磁器口,877,1
磁器口,天坛东门,1183,1
天坛东门,蒲黄榆,1900,1
蒲黄榆,刘家窑,905,1
刘家窑,宋家庄,1670,1
金安桥,苹果园,1438,1
苹果园,杨庄,839,1
杨庄,西黄村,1792,1
西黄村,廖公庄,1794,1
廖公庄,田村,2276,1
田村,海淀五路居,2140,1
海淀五路居,慈寿寺,1509,1
慈寿寺,花园桥,1431,1
花园桥,白石桥南,1167,1
白石桥南,二里沟,777,1
二里沟,车公庄西,888,1
车公庄西,车公庄,887,1
车公庄,平安里,1444,1
平安里,北海北,1322,1
北海北,南锣鼓巷,1349,1
南锣鼓巷,东四,1937,1
东四,朝阳门,1400,1
